Laser power,Scanning speed,Hatch spacing,Experimental Ra
250,700,0.11,11.82
250,700,0.12,11.834
250,700,0.13,11.954
250,800,0.11,10.075
250,800,0.12,10.405
250,800,0.13,10.524
250,900,0.11,9.587
250,900,0.12,9.587
250,900,0.13,9.705
300,700,0.11,12.901
300,700,0.12,12.236
300,700,0.13,12.687
300,800,0.11,12.645
300,800,0.12,12.806
300,800,0.13,12.85
300,900,0.11,13.349
300,900,0.12,13.492
300,900,0.13,13.597
350,700,0.11,13.852
350,700,0.12,13.865
350,700,0.13,13.865
350,800,0.11,13.646
350,800,0.12,13.684
350,800,0.13,13.745
350,900,0.11,12.934
350,900,0.12,12.965
350,900,0.13,12.986
